Företagsnamn,Organisationsnummer,Telefonnummer,Adress
"Smart Media Lab Sverige AB","559204-8069","",""
"Comotion AB","556679-2288","0431-41 03 61","Östergatan, 22, 262 31 Ängelholm"
"Svensk Direktreklam i Hälsingland","556801-3220","0650-59 09 90","Tegelbruksvägen 26, 821 43 Bollnäs"
"Most Studios AB","556985-9845","+","Skeppsbron 16, 111 30 Stockholm"
"Svensk Mediabevakning AB","556753-9100","035-710 80 19","Skolgatan 8, 302 32 HALMSTAD"
"Relativt AB","559401-7690","031-29 05 13","Korsgatan 13, 411 16 Göteborg"
"ADINQ AB","556774-2183","033-722 24 00",""
"The We Select Company AB","556841-1671","08-664 20 20","KORGMAKARGRÄND 6, 111 22 Stockholm"
"FabriQen Group AB","556286-1491","0586-307 30","Skogsbovägen 21, 69147 Karlskoga"
"RiseRank AB","559177-2875","","Textilgatan 43, 120 30 Stockholm"
"Spotlight Communications AB","556650-9880","08-586 104 00","David Bagares Gata 3, 111 38 Stockholm"
"Kalmar Media & Invest AB","559012-8632","","Kay Wieståls Gata 5, 392 50 Kalmar"
"Roxx Communication Group AB","556426-8737","0492-793 00","Traktorgatan 4, 598 30 Vimmerby"
"Oggroup AB","556666-4669","08-678 37 10","Borgmästaregatan 9, 371 15 Karlskrona"
"Digiwise AB","559107-9594","021-18 20 00","Kopparbergsvägen 6, 722 13 Västerås"
"7 Out Media AB","559197-2335","","Svingelvägen 1, 29437 Sölvesborg"
"Golfdisplay Sverige AB","559288-6278","","FRISTADSTORGET 2, 632 18 Eskilstuna"
"Remotion AB","556832-9790","08-410 337 87","Sveavägen 59, 113 59 Stockholm"
"We Are Haus AB","556907-4627","021-444 04 00","Sigurdsgatan 23, 721 30 Västerås"
"Oas Reklam i Jönköping AB","556822-2524","073-395 37 07","Datorgatan 4, 561 33 Huskvarna"
"Media4you Sverige AB","556984-9952","","Norra Vägen 18, 392 49 Kalmar"
"Butiksdisplay Sverige AB","559145-3914","","FRISTADSTORGET 2, 632 18 Eskilstuna"
"Nätvaro AB","559480-6779","010-148 69 80","Hemvärnsgatan 15, 17154 Solna"
"Market Solutions Sverige AB","556898-0816","031-331 10 11","Töpelsgatan 5, 41655 Göteborg"
"PK Company AB","556809-0699","070-273 57 88","box 508, 114 11 Stockholm"
"CB Media AB","559511-6657","",""
"Graphoteket Aktiebolag","556425-5825","0451-319 50","Bäckhagsvägen 11B, 28133 Hässleholm"
"Happy Marketing AB","556617-2135","073-987 03 29",""
"Bbo Sweden AB","556428-5350","031-788 02 50","Stigbergsliden 7, 414 63 Göteborg"
"Trendflow Sweden AB","559248-9792","08-121 326 97","Stockholm"
"AVA Corporate Communications AB","559303-8697","020-10 30 40","Södra Agnegatan 29, 11229 Stockholm"
"Dig & Do Marketing AB","559091-8891","070-852 07 55","Strängnäsgatan 3, 723 34 Västerås"
"Boostr Jönköping AB","559134-0103","073-395 37 07","Datorgatan 4, 561 33 Huskvarna"
"Digital Search Sweden AB","559122-4489","08-533 322 41","Gustavslundsvägen 143, 167 51 Bromma"
"Boneo AB","559201-4798","08-446 02 88","Malmskillnadsgatan 29, 11157 Stockholm"
"Södra tornet kommunikation AB","556602-2249","018-36 36 26","Uppsala Slott- Ing h, 752 37 Uppsala"
"Stilio Media AB","559083-0450","08-684 270 00","Stockholm"
"Adealsweden AB","559443-5413","",""
"Svensk Annonsförmedling AB","556966-3601","08-400 255 97","Kungsgatan 37, 111 56 Stockholm"
"Butiksdisplay H AB","556919-4961","016-551 26 00","Fristadstorget 2, 632 17 Eskilstuna"
"Convertor Svenska AB","556786-8707","040-685 93 90","Nordenskiöldsgatan 24, 211 19 Malmö"
